,years,months,size,month_name
0,1992,1,32394,Janurary
1,1992,2,84919,February
2,1992,3,129638,March
3,1992,4,94382,April
4,1992,5,124085,May
5,1992,6,292337,June
6,1992,7,171297,July
7,1992,8,972565,August
8,1992,9,162573,September
9,1992,10,107548,October
10,1992,11,17371,November
11,1992,12,10813,December
12,1993,1,15828,Janurary
13,1993,2,43549,February
14,1993,3,99687,March
15,1993,4,84957,April
16,1993,5,202615,May
17,1993,6,572597,June
18,1993,7,658363,July
19,1993,8,173155,August
20,1993,9,95734,September
21,1993,10,161892,October
22,1993,11,56362,November
23,1993,12,26849,December
24,1994,1,51288,Janurary
25,1994,2,95127,February
26,1994,3,218106,March
27,1994,4,216948,April
28,1994,5,118167,May
29,1994,6,738405,June
30,1994,7,1229471,July
31,1994,8,1073325,August
32,1994,9,244367,September
33,1994,10,34387,October
34,1994,11,70880,November
35,1994,12,25113,December
36,1995,1,24136,Janurary
37,1995,2,116568,February
38,1995,3,136958,March
39,1995,4,185408,April
40,1995,5,66843,May
41,1995,6,205561,June
42,1995,7,588571,July
43,1995,8,312088,August
44,1995,9,237626,September
45,1995,10,109870,October
46,1995,11,43943,November
47,1995,12,21981,December
48,1996,1,69062,Janurary
49,1996,2,379783,February
50,1996,3,263742,March
51,1996,4,381754,April
52,1996,5,215159,May
53,1996,6,879185,June
54,1996,7,885308,July
55,1996,8,2502745,August
56,1996,9,224569,September
57,1996,10,163117,October
58,1996,11,17604,November
59,1996,12,22807,December
60,1997,1,36166,Janurary
61,1997,2,87618,February
62,1997,3,226795,March
63,1997,4,139046,April
64,1997,5,119353,May
65,1997,6,1651071,June
66,1997,7,535371,July
67,1997,8,233170,August
68,1997,9,73407,September
69,1997,10,104727,October
70,1997,11,17061,November
71,1997,12,7784,December
72,1998,1,9102,Janurary
73,1998,2,34634,February
74,1998,3,101542,March
75,1998,4,122041,April
76,1998,5,201835,May
77,1998,6,421299,June
78,1998,7,402966,July
79,1998,8,426244,August
80,1998,9,132943,September
81,1998,10,91423,October
82,1998,11,45455,November
83,1998,12,26459,December
84,1999,1,23282,Janurary
85,1999,2,92930,February
86,1999,3,230738,March
87,1999,4,351829,April
88,1999,5,260036,May
89,1999,6,1036906,June
90,1999,7,648319,July
91,1999,8,2352398,August
92,1999,9,334268,September
93,1999,10,384335,October
94,1999,11,353804,November
95,1999,12,68102,December
96,2000,1,76520,Janurary
97,2000,2,298995,February
98,2000,3,299395,March
99,2000,4,239649,April
100,2000,5,347367,May
101,2000,6,1215009,June
102,2000,7,2335084,July
103,2000,8,2013240,August
104,2000,9,557228,September
105,2000,10,224824,October
106,2000,11,126366,November
107,2000,12,42013,December
108,2001,1,68217,Janurary
109,2001,2,158487,February
110,2001,3,100464,March
111,2001,4,202630,April
112,2001,5,293338,May
113,2001,6,482685,June
114,2001,7,527365,July
115,2001,8,1429584,August
116,2001,9,162353,September
117,2001,10,137093,October
118,2001,11,245016,November
119,2001,12,29168,December
120,2002,1,26374,Janurary
121,2002,2,149039,February
122,2002,3,223683,March
123,2002,4,223961,April
124,2002,5,1041792,May
125,2002,6,2017777,June
126,2002,7,2558572,July
127,2002,8,386689,August
128,2002,9,127613,September
129,2002,10,12015,October
130,2002,11,36168,November
131,2002,12,20460,December
132,2003,1,38689,Janurary
133,2003,2,43988,February
134,2003,3,99227,March
135,2003,4,289165,April
136,2003,5,144435,May
137,2003,6,963358,June
138,2003,7,845057,July
139,2003,8,1066247,August
140,2003,9,133382,September
141,2003,10,832072,October
142,2003,11,35296,November
143,2003,12,20272,December
144,2004,1,34025,Janurary
145,2004,2,68231,February
146,2004,3,212947,March
147,2004,4,183585,April
148,2004,5,189211,May
149,2004,6,5140062,June
150,2004,7,1848146,July
151,2004,8,397235,August
152,2004,9,70382,September
153,2004,10,76378,October
154,2004,11,11799,November
155,2004,12,16570,December
156,2005,1,36043,Janurary
157,2005,2,49862,February
158,2005,3,170702,March
159,2005,4,149824,April
160,2005,5,456230,May
161,2005,6,3857552,June
162,2005,7,2815677,July
163,2005,8,1221715,August
164,2005,9,295739,September
165,2005,10,103012,October
166,2005,11,356019,November
167,2005,12,198473,December
168,2006,1,570919,Janurary
169,2006,2,189642,February
170,2006,3,1608323,March
171,2006,4,442438,April
172,2006,5,413951,May
173,2006,6,1275777,June
174,2006,7,2504819,July
175,2006,8,2187754,August
176,2006,9,683344,September
177,2006,10,79469,October
178,2006,11,50945,November
179,2006,12,75444,December
180,2007,1,31537,Janurary
181,2007,2,158507,February
182,2007,3,274561,March
183,2007,4,577556,April
184,2007,5,530790,May
185,2007,6,481274,June
186,2007,7,5230608,July
187,2007,8,959952,August
188,2007,9,282934,September
189,2007,10,589546,October
190,2007,11,114235,November
191,2007,12,50210,December
192,2008,1,245932,Janurary
193,2008,2,617412,February
194,2008,3,552177,March
195,2008,4,460656,April
196,2008,5,245345,May
197,2008,6,1741384,June
198,2008,7,556587,July
199,2008,8,675964,August
200,2008,9,72935,September
201,2008,10,84260,October
202,2008,11,116540,November
203,2008,12,58235,December
204,2009,1,154270,Janurary
205,2009,2,179845,February
206,2009,3,432040,March
207,2009,4,652051,April
208,2009,5,537047,May
209,2009,6,1758020,June
210,2009,7,1384617,July
211,2009,8,753803,August
212,2009,9,144056,September
213,2009,10,49104,October
214,2009,11,42307,November
215,2009,12,7820,December
216,2010,1,33016,Janurary
217,2010,2,31060,February
218,2010,3,169013,March
219,2010,4,208048,April
220,2010,5,715202,May
221,2010,6,534747,June
222,2010,7,597940,July
223,2010,8,756237,August
224,2010,9,151371,September
225,2010,10,151216,October
226,2010,11,90461,November
227,2010,12,88139,December
228,2011,1,91255,Janurary
229,2011,2,599456,February
230,2011,3,447870,March
231,2011,4,2554709,April
232,2011,5,1817656,May
233,2011,6,1240023,June
234,2011,7,476723,July
235,2011,8,1389753,August
236,2011,9,784190,September
237,2011,10,192938,October
238,2011,11,60744,November
239,2011,12,18502,December
240,2012,1,80218,Janurary
241,2012,2,50761,February
242,2012,3,209250,March
243,2012,4,210090,April
244,2012,5,554995,May
245,2012,6,1572131,June
246,2012,7,2730686,July
247,2012,8,3247753,August
248,2012,9,587814,September
249,2012,10,87058,October
250,2012,11,87281,November
251,2012,12,30518,December
252,2013,1,24042,Janurary
253,2013,2,24544,February
254,2013,3,141711,March
255,2013,4,75511,April
256,2013,5,729612,May
257,2013,6,1280960,June
258,2013,7,934905,July
259,2013,8,1154674,August
260,2013,9,60447,September
261,2013,10,14978,October
262,2013,11,42935,November
263,2013,12,10106,December
264,2014,1,72858,Janurary
265,2014,2,55728,February
266,2014,3,254888,March
267,2014,4,310923,April
268,2014,5,387651,May
269,2014,6,193000,June
270,2014,7,1715796,July
271,2014,8,445404,August
272,2014,9,168502,September
273,2014,10,25508,October
274,2014,11,30854,November
275,2014,12,15885,December
276,2015,1,62590,Janurary
277,2015,2,96029,February
278,2015,3,268071,March
279,2015,4,132757,April
280,2015,5,206676,May
281,2015,6,5248482,June
282,2015,7,1056603,July
283,2015,8,2642938,August
284,2015,9,292082,September
285,2015,10,121041,October
286,2015,11,84148,November
287,2015,12,14751,December
288,2016,1,46316,Janurary
289,2016,2,285080,February
290,2016,3,742776,March
291,2016,4,248649,April
292,2016,5,252420,May
293,2016,6,665988,June
294,2016,7,1622110,July
295,2016,8,807377,August
296,2016,9,121991,September
297,2016,10,197806,October
298,2016,11,299475,November
299,2016,12,72294,December
300,2017,1,95965,Janurary
301,2017,2,211875,February
302,2017,3,1789953,March
303,2017,4,361721,April
304,2017,5,228523,May
305,2017,6,1065386,June
306,2017,7,3525321,July
307,2017,8,1910075,August
308,2017,9,262156,September
309,2017,10,291553,October
310,2017,11,92969,November
311,2017,12,410165,December
312,2018,1,91244,Janurary
313,2018,2,70567,February
314,2018,3,425107,March
315,2018,4,1017407,April
316,2018,5,311036,May
317,2018,6,1079711,June
318,2018,7,3231732,July
319,2018,8,1254519,August
320,2018,9,441991,September
321,2018,10,36410,October
322,2018,11,276003,November
323,2018,12,7875,December
324,2019,1,14056,Janurary
325,2019,2,37083,February
326,2019,3,108203,March
327,2019,4,104531,April
328,2019,5,101154,May
329,2019,6,2428111,June
330,2019,7,1031273,July
331,2019,8,524169,August
332,2019,9,291148,September
333,2019,10,194035,October
334,2019,11,63373,November
335,2019,12,18533,December
336,2020,1,22488,Janurary
337,2020,2,52222,February
338,2020,3,156173,March
339,2020,4,99614,April
340,2020,5,317728,May
341,2020,6,1015084,June
342,2020,7,988407,July
343,2020,8,4532161,August
344,2020,9,2809774,September
345,2020,10,359956,October
346,2020,11,103345,November
347,2020,12,38428,December
